"","X1","X2","X3","X4","X5","X6","X7","X8"
"1",2,5,1,0,0,0,1,1
"2",0,4,0,1,1,0,0,1
"3",0,0,0,0,1,0,3,0
"4",0,3,0,0,0,0,0,0
"5",2,0,0,0,0,0,0,0
"6",0,0,0,1,0,1,0,2
"7",0,0,0,1,0,0,1,1
"8",1,0,0,0,1,0,0,2
"9",0,0,0,0,0,0,2,0
"10",2,0,2,1,1,0,4,0
"11",0,0,0,1,0,0,2,0
"12",0,4,0,2,1,0,1,2
"13",1,4,0,0,0,0,0,0
"14",4,0,1,0,0,0,1,2
"15",1,0,0,1,2,0,2,0
"16",0,0,0,2,0,0,1,2
"17",2,0,0,0,0,0,1,0
"18",0,1,0,2,1,0,0,1
"19",1,1,1,1,1,0,1,4
"20",0,0,3,0,0,0,0,0
"21",1,0,2,0,3,0,1,0
"22",0,1,1,0,0,0,0,0
"23",2,3,0,0,2,0,1,4
"24",0,2,0,2,0,0,0,0
"25",3,1,0,0,2,0,0,0
"26",0,2,0,0,0,0,2,2
"27",1,1,0,0,1,0,0,0
"28",0,2,0,0,0,0,2,0
"29",1,0,0,3,3,0,0,2
"30",0,1,2,2,0,0,2,0
"31",0,6,0,1,0,0,1,0
"32",3,0,0,2,0,0,0,2
"33",1,0,1,0,1,0,0,0
"34",0,1,0,0,0,0,0,1
"35",1,0,0,0,0,0,2,0
"36",0,0,0,0,0,0,0,4
"37",0,0,1,1,0,0,7,0
"38",0,0,0,0,1,0,0,1
"39",0,0,0,0,0,0,1,0
"40",0,2,0,0,0,1,1,2
"41",2,1,1,1,2,1,0,1
"42",0,1,0,0,0,1,0,2
"43",0,0,0,0,0,0,0,1
"44",1,0,2,3,0,0,2,1
"45",1,2,0,1,0,0,0,1
"46",1,0,0,0,1,0,2,1
"47",1,3,0,1,0,0,0,2
"48",1,2,0,0,0,0,6,5
"49",0,4,0,0,1,0,0,0
"50",1,2,0,1,1,0,7,0
"51",2,0,2,0,0,0,1,0
"52",0,1,0,0,0,0,0,0
"53",0,0,0,0,1,1,3,0
"54",2,2,0,3,1,0,3,7
"55",0,2,0,0,3,0,1,1
"56",0,0,2,1,0,0,0,1
"57",2,0,0,0,1,0,0,4
"58",2,0,1,0,0,2,3,0
"59",0,1,0,1,0,0,0,2
"60",2,0,1,0,1,0,0,2
"61",0,2,0,0,0,0,0,1
"62",1,0,0,1,0,1,5,0
"63",0,0,1,0,0,0,1,0
"64",0,1,1,0,1,0,0,0
"65",0,0,0,0,1,0,3,0
"66",0,0,0,1,0,0,0,0
"67",0,2,0,0,0,0,1,0
"68",1,8,0,1,0,0,0,3
"69",0,1,0,0,1,0,0,0
"70",1,4,0,0,0,1,0,3
"71",0,1,0,0,0,0,0,0
"72",1,1,0,0,0,1,2,0
"73",0,0,0,3,0,0,0,1
"74",0,0,0,0,0,0,0,0
"75",0,0,0,0,0,0,0,0
"76",1,1,0,1,1,0,4,0
"77",2,1,0,0,0,0,0,0
"78",2,0,0,0,0,0,0,2
"79",0,2,0,1,0,1,2,0
"80",2,0,0,0,0,0,0,1
"81",1,0,0,0,0,2,1,1
"82",1,1,0,0,0,0,0,0
"83",0,0,0,1,2,0,1,0
"84",0,0,0,0,0,1,0,2
"85",0,2,0,0,0,1,0,1
"86",1,0,1,0,0,0,5,0
"87",1,4,0,1,0,0,0,0
"88",0,0,0,0,0,0,0,2
"89",0,1,1,0,0,1,0,3
"90",1,0,1,0,2,0,2,1
"91",0,2,0,0,0,1,0,0
"92",1,3,0,0,0,0,0,0
"93",0,2,0,0,0,0,2,0
"94",0,0,0,0,0,0,0,0
"95",2,0,0,0,0,1,3,0
"96",0,1,1,0,0,0,0,0
"97",0,0,0,0,1,0,5,3
"98",2,0,1,0,0,0,0,3
"99",3,1,0,0,0,0,0,0
"100",0,0,0,1,0,1,0,0
"101",0,1,0,0,0,1,1,3
"102",1,1,0,0,0,0,0,0
"103",1,0,1,1,2,0,5,0
"104",0,1,0,1,0,0,0,0
"105",1,1,0,1,0,1,0,1
"106",0,1,0,0,1,1,1,1
"107",0,3,0,2,0,0,0,0
"108",0,0,1,4,0,0,3,1
